"sold","brand","battery_health_report","blind_spot_monitoring","rain_sensing_wipers","heated_seats","ventilated_seats","sunroof","wireless_phone_charging","apple_carplay_or_android_auto","navigation_system","voice_control","regenerative_braking_system","fast_charging_capabilities","range_estimator","black_and_white_premium_interior","glass_roof","subzero_weather_package","keyless_entry","ash_wood_decor","customer_age","customer_income","dealership_size","dealership_location","dealership_years_experience","customer_sex","trade_in","customer_satisfaction","price","seller_sex","seller_experience","trade_in_model","trade_in_mileage","trade_in_exterior_condition","trade_in_tire_condition","trade_in_engine_size","trade_in_value","longitude","latitude","state","customer_id","car_models","trade_in_fuel_type","trade_in_transmission_type"
0,"Tesla",1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,39,133402,2,"Suburban",1,"Female",0,4.83461389901686,87336.9754152372,"Female",9.42000619851622,"Audi Q3",65000,2,5,3.5,26399.7553224287,-74.4920699187831,42.6107027571509,"New York",1,"Audi Q3","gasoline","automatic"
0,"Ford",0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,44,78763,1,"Rural",19,"Male",0,3.86123786466927,40568.0745700374,"Male",25.4200061985162,"Ford Transit Connect",40000,5,3,5.3,30000,-74.1875304013179,43.4441762486448,"New York",2,"Ford Transit Connect","gasoline","automatic"
0,"Toyota",0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,43,48717,3,"Suburban",2,"Female",1,3.70150272592685,37671.4240130968,"Male",22.4200061985162,"Honda Civic",40000,2,5,1.4,20732.6907771264,-75.6126886072268,44.0173582067616,"New York",3,"Honda Civic","gasoline","CVT"
1,"Tesla",0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,64,143978,4,"Suburban",30,"Male",1,4.3551563482333,66078.3018094255,"Female",21,"Mazda5",130000,2,2,4.5,17503.887994083,-74.5382299653799,43.9131778249792,"New York",4,"Mazda5","gasoline","manual"
0,"Tesla",1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,32,64444,4,"Rural",25,"Female",0,4.72142610243266,79718.15406112,"Male",16.4200061985162,"Subaru Impreza",110000,4,5,2.9,30000,-78.7295101197387,42.1715363880868,"New York",5,"Subaru Impreza","gasoline","manual"
1,"Toyota",0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,65,68511,2,"Suburban",20,"Female",0,3.27815848427731,29981.5310364706,"Female",29,"Nissan Quest",70000,2,3,4.6,20661.9626587173,-79.0410711434594,42.3260106085379,"New York",6,"Nissan Quest","gasoline","CVT"
1,"Tesla",1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,44,109288,1,"Suburban",41,"Female",0,4.14433039646324,84674.7990011238,"Female",11,"Kia Sedona",150000,4,1,3.4,14315.42448157,-76.1130273162664,43.1642659809573,"New York",7,"Kia Sedona","gasoline","automatic"
0,"Ford",0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,47,94411,4,"Rural",30,"Male",0,3.22522652876453,59315.8106505871,"Male",5.42000619851622,"Chevrolet Malibu",25000,1,2,3.1,29058.9978073345,-73.7640699514443,44.5273561125252,"New York",8,"Chevrolet Malibu","gasoline","CVT"
1,"Toyota",0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,63,141759,1,"Urban",13,"Female",1,3.91006163628532,43660.042580578,"Female",23,"Kia Sportage",50000,3,3,4.9,30000,-76.4932202920896,43.1857840498473,"New York",9,"Kia Sportage","gasoline","automatic"
0,"Ford",0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,64,44119,5,"Urban",32,"Male",1,4.30709919544542,41871.1297330447,"Female",0.420006198516223,"Hyundai Ioniq",95000,1,3,4.9,6532.94128393151,-76.1236558354032,43.3153604466313,"New York",10,"Hyundai Ioniq","hybrid","automatic"
1,"Tesla",1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,37,141399,4,"Urban",16,"Female",0,5.1672312309332,58378.3169232542,"Male",17,"Volvo XC40",55000,5,2,2,27467.1756822017,-75.4876381750545,44.2653364589002,"New York",11,"Volvo XC40","gasoline","automatic"
0,"Ford",1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,55,80860,2,"Suburban",32,"Female",1,3.4393753097346,38034.1411172412,"Male",18.4200061985162,"Tesla Model S",1e+05,2,3,1.3,19157.6608933034,-74.5315902910603,43.2682692319653,"New York",12,"Tesla Model S","electric","automatic"
0,"Tesla",1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,43,142235,2,"Rural",25,"Female",0,3.82141363362345,57299.4091291912,"Male",23.4200061985162,"Tesla Model X",75000,4,1,3.4,30000,-74.8316856329779,41.5089836519035,"New York",13,"Tesla Model X","electric","automatic"
0,"Toyota",0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,39,149282,2,"Rural",12,"Male",1,3.67490955016513,42570.3120348044,"Male",8.42000619851622,"Maserati Ghibli",130000,1,1,2.2,22634.0991950773,-77.6256585899037,42.9390015067962,"New York",14,"Maserati Ghibli","gasoline","automatic"
1,"Toyota",0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,19,130164,5,"Rural",14,"Male",1,2.87836546883457,31914.0246804338,"Female",2,"Toyota Tundra",110000,2,3,5.3,8267.69728577105,-74.85590811605,42.7882614030752,"New York",15,"Toyota Tundra","gasoline","automatic"
0,"Tesla",1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,42,137648,4,"Urban",25,"Male",1,3.75324586475591,52135.1321460679,"Female",0.420006198516223,"Volkswagen Jetta",15000,5,4,3.5,30000,-75.7820018101677,43.5942831851766,"New York",16,"Volkswagen Jetta","gasoline","manual"
1,"Tesla",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,19,75342,1,"Urban",32,"Male",0,3.95183256479115,77267.0349823078,"Male",2,"Nissan Quest",50000,3,1,4.1,23847.2432414042,-74.7855118396357,41.8974178032639,"New York",17,"Nissan Quest","gasoline","CVT"
1,"Tesla",1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,21,41059,2,"Rural",29,"Male",1,4.24156810378496,53338.2234682795,"Female",15,"Ford Ranger",20000,4,2,5.5,29009.0569231147,-79.0467691843095,43.3214376787159,"New York",18,"Ford Ranger","gasoline","automatic"
0,"Ford",1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,43,81036,2,"Rural",33,"Female",0,3.32692168808057,59872.430319665,"Male",11.4200061985162,"GMC Canyon",145000,3,2,4.9,23488.7739651051,-74.9005248924712,44.6540282799082,"New York",19,"GMC Canyon","gasoline","automatic"
